@relation 'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Remove-R2-61'

@attribute form-time-for-compeltion numeric
@attribute q61 {-100,-33,33,100}
@attribute q63 {'2,4,6','1,2,4','1,2,3',2,'1,2,5','2,4','1,2,6','1,2',1,'2,4,5',6,'1,5,6','2,3,4','1,3,5','2,6','1,3,4',3,'1,4,6','1,3,6','1,2,7','2,3,6','2,6,7','1,4,5','1,6','6,7','1,4,7','1,4','3,4,6',4,'2,4,7','4,5,7','4,6','1,7','2,3,5','2,3','1,5','2,3,7','1,3','2,5,6','2,5','3,6,7','2,7','1,6,7',7,'3,6','4,7','5,6,7','1,3,7','3,4,5','3,4','5,6',5,'4,5','4,6,7','3,5,6','1,5,7','4,5,6','3,4,7','3,5','3,7','2,5,7','3,5,7','5,7'}
@attribute q64 {'1,3',3,'3,6,8',1,'1,3,8','3,8','3,7,8','3,6','1,3,6',8,'1,3,7','3,5','1,3,5','3,5,6','2,3','1,6,7',5,'2,5','1,2,8','1,7','1,5','1,5,8','3,6,7',2,'3,5,7','1,6','1,2,3','1,2,5','1,5,7','1,5,6','6,8','2,3,7',7,'3,5,8','1,2,6','5,7,8','1,8','2,3,8','6,7,8','2,3,6','1,6,8','1,2,7','2,5,7','2,5,6','2,6,7','6,7',6,'7,8','1,2','5,6,7','1,7,8','5,6,8','2,5,8','2,7','2,7,8','3,7','2,3,5','5,8','2,8','2,6','2,6,8','5,6','5,7'}
@attribute q65 {'2,3,7','4,7',5,'2,3,5','3,5,7','1,4,7',7,'6,7','1,5,6','5,6','2,7','5,6,7','1,2',3,'2,4','2,3,6','2,3,4','2,5,7','1,2,6','1,7',1,'2,5,6','2,6,7','2,4,7','4,6,7','3,5,6','3,7','5,7',2,'1,2,7','1,6,7','2,3','4,5,7','3,5','1,2,4','1,2,5','3,6','2,4,6','2,5','3,4,7','2,4,5','3,4','1,5,7','1,4','3,4,5','4,6','3,6,7','1,3,4','1,3,5','1,3,6','3,4,6',4,6,'1,2,3','1,3,7','4,5,6','2,6','4,5','1,4,6','1,5','1,4,5','1,3','1,6'}
@attribute q66 {'2,7','1,2','1,7','1,3,7','1,2,5','2,3,4',7,'3,7','1,2,3','1,3','1,4,7','1,5','2,3,7',1,'3,4','2,5,7','1,3,5','1,2,7',3,'3,5,7','4,7','3,4,7','3,4,5','3,6,7','5,7','1,3,4','1,4,5','2,4,7','1,4','1,3,6',5,'5,6,7',4,'2,3,5','1,4,6','4,6','4,6,7','4,5,7','2,4,6','2,3','3,6','5,6','1,5,7',2,'1,2,4','3,4,6','2,6','1,5,6','2,4,5','3,5',6,'2,3,6','1,6,7','4,5','6,7','2,6,7','4,5,6','1,6','3,5,6','2,4','2,5','1,2,6','2,5,6'}
@attribute q67 {'2,3','1,2',5,'1,2,3','2,3,7','2,3,6',4,'2,8','1,3,5','1,2,4','1,4,7','2,3,4','2,4',1,'1,4,8','3,4,5','1,3,8','1,4,5','1,5,7','2,5','4,5,6','1,2,5','1,3,7','3,4','3,4,6','2,6,7',3,'2,3,8','1,3','1,2,6',8,'7,8','3,5,6',6,7,'2,3,5','1,7,8',2,'1,6','3,4,8','3,5,7','2,4,8','4,6,8','1,3,4','1,5,8','5,6','4,6,7','1,5','5,6,8','3,5','2,5,8','4,5,7','5,7,8','1,2,8','5,7','2,4,5','3,5,8','2,5,6','4,8','3,4,7','4,5,8','5,8','3,7,8','1,4,6','1,3,6','2,5,7','2,7','1,6,8','2,4,6','1,4','3,7','2,4,7','4,7,8','6,7,8','1,5,6','3,6,8','1,8','4,5','5,6,7','2,7,8','6,7','2,6,8','4,7','1,2,7','3,8','1,7','3,6,7','3,6','6,8','2,6','1,6,7','4,6'}
@attribute q68 {1,2,3}
@attribute q69 {1,2,3,4,5,6}
@attribute q70 {1,2,3,4,5,6,7,8,9}
@attribute q71 {1,2}
@attribute q72 {1,2}
@attribute q73 {'1,3',3,1,2,'2,5',6,4,5,'1,2','1,5','1,4','1,3,5','3,5','4,5','5,6','1,2,5','1,4,5','1,2,3,5','1,6','2,3','3,6','1,5,6','2,6','1,2,3,4,5,6','4,6','1,2,6','1,3,4','1,2,3','2,4'}
@attribute q74 {'3,4',4,5,'1,4',2,3,'1,2,4',1,'1,2','1,3','2,3','1,3,4','2,4','3,5','1,2,3','2,3,4','1,2,3,4','2,5','1,2,3,4,5','1,3,5','4,5','1,4,5','2,4,5','1,2,5','3,4,5','1,5'}
@attribute q62 {-100,-33,33,100}

@data
129000,100,'1,2,3',8,'3,7','1,3,4','1,5,8',3,4,2,2,2,6,5,100
129000,33,'1,3,4',5,'1,4,5','1,3,5','1,3,5',2,5,4,2,1,3,1,100
129000,33,2,3,7,'3,5',6,2,4,3,2,1,6,5,33
129000,33,'1,7','1,8','5,7',1,'1,2,3',2,3,2,2,1,2,4,33
130000,33,2,8,2,7,8,3,3,5,2,2,4,4,-33
130000,33,'2,5','2,6','3,4','1,3','2,7',3,3,3,2,2,6,4,33
130000,100,6,'1,2,6','2,6,7',1,2,3,4,5,1,2,3,'3,4',33
130000,100,'1,2,4','1,3,6','1,2,3','4,5,7','1,2,3',1,4,4,2,2,3,2,100
131000,-100,2,8,7,4,8,3,4,6,2,1,3,5,33
131000,100,'1,2,3','1,5','3,4,7','1,2,3','3,4,5',2,5,5,2,2,3,4,100
131000,33,'1,2,3','2,3,8','2,4,7','1,5,6','1,2,7',2,4,3,2,2,2,1,100
132000,100,'1,6,7','1,2,8','1,5,7','1,2,4','1,4,6',3,2,2,1,1,6,5,100
134000,100,'2,4,6','1,6,8','1,3,5','3,6,7','3,5,8',3,3,3,2,2,4,'1,4',100
134000,33,'1,3,5','1,3,6','1,3,5','1,3,5','1,4,6',2,5,7,2,2,2,5,33
134000,100,'1,2','2,3','2,4,5','1,3,6','1,2,3',2,3,3,2,2,3,1,100
134000,33,2,6,2,'4,6,7','5,7,8',3,3,3,2,2,2,5,100
135000,-100,1,1,1,1,1,1,6,5,2,1,5,5,-100
135000,33,2,7,2,4,5,2,4,7,2,1,6,5,33
135000,100,'2,3,4','1,3,6','1,3,5','2,3,4','4,5,8',2,3,3,2,1,5,3,100
135000,100,2,1,1,1,1,2,4,6,2,1,2,1,100
135000,100,1,1,1,'1,6',4,3,2,6,2,2,3,1,100
136000,-33,'1,2','1,8',7,1,'1,2',2,2,4,2,2,2,4,-33
136000,-33,'2,4','6,7','3,5',7,8,3,2,3,1,1,6,5,-33
136000,-33,4,'1,2,8','2,5,7','4,7',5,3,4,3,2,2,2,4,100
136000,33,1,1,7,2,3,2,5,4,2,1,6,3,100
137000,33,'1,2,4','1,2,3','1,2,3','1,2,3','1,2,3',2,5,4,2,1,2,4,100
137000,33,'1,2,4','1,5,7','2,4,5','1,2,3','1,2,3',2,4,7,2,2,6,5,33
137000,33,'1,2,3','1,2,3','1,2,3','1,2,3','1,2,3',3,3,2,1,1,6,'1,2,3,4',100
137000,100,'3,5,6','3,5,6','1,3,4','2,3,5','1,2,3',3,1,1,1,1,5,3,100
138000,33,2,8,7,1,7,3,2,2,2,1,6,'3,4',-100
138000,33,'2,3,4',3,'3,7','1,4','3,4',2,4,5,1,1,6,1,33
138000,100,'1,5,6','1,3,5','5,6','1,2,5','1,2,3',2,2,5,2,1,3,4,100
138000,100,'1,2,3','1,5,7','2,3,5','1,3,7','1,2,7',3,3,4,2,2,3,4,100
138000,100,'1,2,4','3,6,7','2,6,7','1,3,4','2,3,5',1,5,4,2,2,3,5,33
138000,-33,2,8,5,7,2,3,3,4,2,1,6,5,-33
139000,-33,'2,4',8,3,7,8,2,5,4,2,2,6,4,-33
139000,33,'1,2',1,4,4,3,2,4,4,2,1,2,'1,4',-33
139000,100,'1,2,3','1,6,7','2,3,7','1,2,5','1,2,5',2,3,4,1,1,5,3,100
139000,33,'1,4',7,5,'3,7',8,2,4,3,2,1,3,4,33
139000,33,2,1,5,1,1,2,4,5,2,2,3,5,100
139000,100,'1,2,3','1,2,5','1,5','1,6','2,5,8',3,2,2,2,1,6,3,100
140000,-100,'1,2,7','1,2,8','2,5,7','3,4,7','2,5,7',3,3,2,2,2,5,3,33
140000,-100,'2,4,7','3,8',7,7,4,3,3,2,2,2,6,3,-100
140000,33,'1,2,4','3,8','3,6','4,7','2,6',2,4,5,2,1,3,1,33
141000,33,'1,2','6,8','2,7','3,6,7','1,3,5',2,3,6,2,2,6,4,-33
141000,-33,2,3,3,1,8,2,5,5,2,1,2,'3,4',-33
142000,33,'1,2,6','1,5,7','3,4,7','2,4,6','3,4,8',2,1,2,2,1,6,5,33
142000,33,'1,2,4','1,5,8','3,5,7','1,3,7','1,6,8',2,3,5,2,1,2,4,33
142000,100,1,1,1,1,1,2,4,5,2,2,6,4,100
143000,33,'1,2',8,5,1,'4,7',3,3,2,2,1,6,4,100
143000,100,'1,2,5','1,6,7','1,2,6','1,2,4','1,2,4',2,4,5,1,1,3,2,100
143000,100,'1,3,4','1,3,6','1,4,5','2,4,5','3,4,5',3,4,8,2,2,'1,4,5',5,100
143000,33,'2,4,6','1,3,6','2,5,7','2,3,4','2,3,7',3,1,6,2,1,6,1,100
144000,-33,'2,3,4','1,8',5,'1,7',1,2,5,6,2,2,4,'1,4',33
144000,33,'1,2,5','1,5,8','3,5,7','3,4,5','2,3',1,6,4,1,1,3,5,33
144000,33,'1,2,4','1,3,8','2,5,7','1,2,4','2,4,6',3,4,2,2,2,6,4,-33
144000,33,'1,2,3',3,7,7,8,2,2,3,1,2,1,'3,4',-33
144000,33,'1,2','1,8',5,1,2,2,4,7,2,2,3,'2,4',100
145000,100,1,'1,3',2,'2,3,5','4,6',2,5,5,2,2,1,'1,2,3,4',100
145000,100,1,1,1,1,1,2,5,7,1,1,6,5,100
145000,33,4,3,'3,5,7','2,4,5','1,5,6',3,5,7,2,2,5,4,100
146000,100,'1,2','1,3,8','1,6','2,6','1,4',1,5,3,1,2,2,5,100
146000,100,'1,2,3','1,3,5','1,2,3','1,2,3','1,2,3',2,6,6,2,1,3,4,100
146000,100,6,'2,3,8','4,5,6','4,7','3,5',3,1,4,2,2,6,5,100
146000,-33,'1,3,7','2,5,6','1,4,6',3,'2,5,7',2,4,3,2,1,6,1,33
147000,-33,'1,2',8,5,7,7,2,3,2,2,1,6,4,33
147000,33,2,8,2,6,8,3,3,4,2,1,4,4,-100
147000,33,'1,2,4','1,5,8','2,3,4','1,4,5','2,3,5',2,4,4,2,2,6,5,100
147000,-33,'1,5,6','1,6,7','1,2,4','1,2,4','2,3,5',3,4,3,2,2,6,3,-33
147000,33,'1,2,3','1,2,3','1,2,5','2,3,4','1,3,6',2,3,7,2,2,3,4,100
147000,33,'2,3,4','1,3,5','1,2,3','2,4,5','1,3,5',3,4,4,2,1,6,5,33
148000,33,'2,4',1,4,3,8,2,5,5,2,2,2,'2,4',33
148000,-100,'2,4','5,6,8','3,5,6','1,2,5','1,3,5',3,4,2,2,1,5,4,-33
148000,33,'1,2,3','1,5,6',1,5,1,2,4,3,1,2,2,4,33
148000,100,1,1,7,2,1,2,4,6,2,1,2,5,100
148000,33,'1,2','1,2','4,5',3,'1,2',2,6,4,1,2,3,1,33
149000,33,'1,2,3','1,2,3','1,2,3','1,2,3','1,2,3',2,3,9,2,1,6,5,33
149000,-33,'1,2,6',8,'3,7',4,3,2,6,5,1,2,6,3,-33
149000,-33,'2,3',3,3,'1,7',8,3,6,6,2,2,2,'1,3,4',33
149000,33,'2,3,4','1,5','3,4,7','1,3','2,8',2,6,6,2,1,3,'1,2',33
150000,100,'1,3,4','1,3,6','1,3,6','1,3,4','4,5,8',2,3,3,2,2,'1,2',4,100
150000,100,'2,3,4','5,6,7','2,3,4','2,3,4','2,3,4',3,3,2,2,1,5,4,33
150000,100,'1,3,4','1,3','2,4,5',1,'1,3,4',2,5,3,2,2,2,1,100
151000,33,'2,4','1,8','3,5',1,'1,7',2,6,7,2,2,2,'1,4',33
151000,33,'1,2,4','1,3,5','2,6','2,4,5','3,4,6',3,2,6,2,2,2,1,100
151000,-33,'1,2',8,'3,7','1,4','3,4',2,4,3,2,1,6,5,-33
151000,33,'2,3,6',7,'2,3',1,'5,8',3,2,1,2,1,6,5,-33
151000,100,'2,4,6','2,3,8','2,3,4','3,5,6','4,7,8',3,2,1,2,1,5,5,100
151000,100,'2,3,4',8,'2,5,7','1,5,6','1,3,7',2,5,3,2,1,2,4,100
152000,33,'1,2','1,6,8','5,6,7','3,4','1,3,5',2,5,5,1,2,4,5,100
152000,33,6,'1,3,7','1,3,6','2,3,6','1,4,7',2,4,3,2,2,1,'1,2,4',33
152000,33,'1,2,3','1,5,8','2,5,7','1,5,7','4,5,7',2,4,2,1,1,5,5,33
152000,33,'2,4,6','1,5,7',2,3,'1,2',2,6,5,2,2,3,5,100
152000,100,'1,2,5','1,6,7','1,5,7','1,5,7','1,5,6',3,5,8,2,2,3,5,100
153000,100,'1,2,4','6,7','1,2,3','1,7','1,2,8',2,4,2,2,1,6,4,100
153000,-33,'2,5,6',8,'2,6,7','1,7','2,5',2,3,2,2,1,5,4,-33
153000,33,2,8,7,7,3,3,4,6,2,2,2,4,100
153000,100,'1,2,4','1,3,7','1,2,5','1,2,4','1,2,3',2,4,5,2,1,2,4,100
154000,100,'1,2,4','1,3','6,7',3,'1,3',3,2,5,2,2,6,5,100
154000,100,'1,2',8,1,3,6,2,4,3,1,2,'1,3','1,2',100
154000,33,'2,4',3,'2,7','4,7','4,5',3,4,5,2,2,2,1,33
154000,-33,'2,4,7',8,7,6,'5,7,8',3,3,1,2,2,6,'3,4',100
154000,33,'1,3,6',8,'1,4,5','1,2','1,2',2,3,2,2,1,6,5,33
154000,100,'1,4','3,5,8','5,7',3,4,2,6,5,1,2,'1,5',5,100
155000,-33,'1,2,3','1,8',3,1,2,2,3,4,1,1,6,'3,4',-100
155000,100,'1,2,3','3,7,8','2,5,7','3,4,6','1,3,6',2,5,5,2,2,3,4,100
155000,33,'1,2,4','1,3,6','2,4,6','4,5,6','2,4,8',2,3,4,2,2,2,4,100
155000,100,'1,2,3','1,3,5','1,2,3','2,3,4','2,3,4',2,5,3,2,2,3,4,100
155000,33,1,8,7,'6,7',1,3,3,2,2,2,6,3,100
155000,33,'1,2,6','1,2,3','2,7','1,2,7','6,8',2,3,2,2,1,2,3,33
155000,-33,'1,2,6',8,7,'5,7','1,2',2,4,6,2,1,'2,5',5,-33
156000,33,'1,2,3',8,7,7,'1,5',2,5,4,1,1,6,5,-33
156000,33,'2,4,6',8,7,'3,4',6,3,3,3,2,1,1,4,100
156000,-33,'2,4',8,5,1,2,2,3,2,2,2,6,2,-33
156000,100,'2,3,6','1,3,6','1,2,3','3,4,5','1,2,5',3,2,4,2,1,2,4,100
157000,33,'1,2,4','1,3,8','2,5,6','1,5,7','4,7,8',3,3,4,2,2,3,4,100
157000,-33,'2,5,6','2,3,8','2,3,4','2,4,7','2,3,5',3,4,4,2,1,6,'3,5',-33
157000,-100,2,8,7,7,8,3,3,1,2,1,6,'3,4',-100
157000,33,'2,4',8,5,'1,7',6,1,6,5,1,2,6,4,-33
157000,100,'1,2,3','1,2,3','1,2,3','1,2,3','1,2,3',2,2,2,2,1,6,3,100
157000,33,'2,3,6','3,8',7,'4,7','3,4',2,5,3,2,2,3,4,-33
158000,100,'1,3,5','3,5,7','2,4,6','1,2,4','2,4,7',2,4,6,1,2,3,4,100
159000,33,2,5,5,7,3,2,4,3,2,2,3,'1,2,3',33
159000,100,'1,2','1,6,8','2,3,5','3,4,7','1,3,5',2,4,5,2,2,3,1,100
159000,33,'1,2,4','1,3,8','1,2','3,5','1,2,7',2,4,3,1,2,'1,2',3,33
159000,33,'1,2,3','5,6,7','3,4,5','2,5,7','1,3,8',3,2,3,2,1,6,5,33
159000,33,'2,4,5','1,2,5','1,2,4','1,2,3','1,2,3',2,6,8,2,1,6,1,33
159000,100,'1,2',1,1,1,1,1,3,4,1,2,6,4,-33
159000,33,'1,2','3,8','2,4','1,5','3,4',1,2,3,2,1,5,'1,4',33
159000,100,'1,2,6','1,3','1,4,7','2,3,4','3,6,8',3,4,4,2,2,2,'1,2',100
159000,33,'1,2',3,'3,7',5,2,2,3,2,2,1,6,'1,4',33
159000,100,'1,2,6','3,6,7','2,3,4','1,4,6','1,4,6',2,3,2,2,1,6,5,100
159000,100,1,'1,2,6','1,2,3','2,3','1,4,5',3,2,2,1,1,5,5,100
160000,33,'1,4,6','1,5,8','3,5,7','3,5,7','3,4,7',3,5,5,2,2,2,4,33
160000,33,'1,2,3','1,6,8','2,5,6','1,4,5',5,3,1,3,2,1,3,3,100
160000,33,2,8,7,'1,4','3,4',2,4,5,2,1,3,4,100
160000,-33,'1,2,6',8,3,7,3,2,3,3,2,2,2,'2,4',-33
160000,33,'1,2,3','1,5,8','2,4,7','1,3,4','1,2',2,4,6,2,2,6,4,33
160000,33,'2,4,6','3,7,8','1,2,3','1,2,3','1,2,4',3,4,6,2,2,6,5,100
160000,100,'1,2,3','1,2,6','1,3,5','3,5,7','3,4,5',3,3,3,2,1,6,5,100
161000,33,'2,3,4','1,3','2,3,7','1,4,7','1,2,3',3,4,4,2,2,3,1,33
161000,33,'1,3,6','7,8','2,3,6','1,4,7','1,7,8',3,3,2,2,1,6,5,33
161000,33,2,8,5,'1,4,6','1,2,3',2,4,4,2,1,2,4,33
